#MASTER VARIABLE MAP
#cmip_variable,definable_in_access,access_variable(s),calculation,units,axes_modifier,positive,ACCESS_ver[CM2/ESM/both],realm,notes
#
#...aerosol...
zg500,yes,fld_s30i297,,m,dropZ,,CM2,aerosol,
zg500,yes,fld_s30i207,,m,dropZ,,ESM,aerosol,
co2,yes,fld_s00i252 fld_s00i408 fld_s30i301 lat lat_v,"(plevinterp(var[0],var[1],var[2],var[3],var[4])*28.97/44.01)",mol mol-1,mod2plev19,,ESM,aerosol,
abs550aer,yes,fld_s02i240 fld_s02i241 fld_s02i242 fld_s02i243 fld_s02i585,"optical_depth(3,var)",1,dropLev,,CM2,aerosol,
od440aer,yes,fld_s02i285 fld_s02i300 fld_s02i301 fld_s02i302 fld_s02i303,"optical_depth(2,var)",1,dropLev,,CM2,aerosol,
od440aer,yes,fld_s02i284 fld_s02i285 fld_s02i286 fld_s02i287 fld_s02i288 fld_s02i289,"optical_depth(2,var)",1,dropLev,,ESM,aerosol,
od550aer,yes,fld_s02i285 fld_s02i300 fld_s02i301 fld_s02i302 fld_s02i303,"optical_depth(3,var)",1,dropLev,,CM2,aerosol,
od550aer,yes,fld_s02i284 fld_s02i285 fld_s02i286 fld_s02i287 fld_s02i288 fld_s02i289,"optical_depth(3,var)",1,dropLev,,ESM,aerosol,
od550lt1aer,yes,fld_s02i300 fld_s02i301 fld_s02i303,"optical_depth(3,var)",1,dropLev,,CM2,aerosol,
mmraerh2o,yes,fld_s38i545,(3600/1200)*var[0],kg kg-1,,,CM2,aerosol,
mmrbc,yes,fld_s34i105 fld_s34i109 fld_s34i115 fld_s34i120,var[0]+var[1]+var[2]+var[3],kg kg-1,,,CM2,aerosol,
mmrdust,yes,fld_s00i431 fld_s00i432 fld_s00i433 fld_s00i434 fld_s00i435 fld_s00i436,var[0]+var[1]+var[2]+var[3]+var[4]+var[5],kg kg-1,,,CM2,aerosol,
mmroa,yes,fld_s34i106 fld_s34i110 fld_s34i116 fld_s34i121 fld_s34i126,var[0]+var[1]+var[2]+var[3]+var[4],kg kg-1,,,CM2,aerosol,
mmrso4,yes,fld_s34i102 fld_s34i104 fld_s34i108 fld_s34i114,var[0]+var[1]+var[2]+var[3],kg kg-1,,,CM2,aerosol,
#mmrsoa,yes,fld_s34i128 fld_s34i129 fld_s34i130 fld_s34i131,var[0]+var[1]+var[2]+var[3],kg kg-1,,,CM2,aerosol,
mmrss,yes,fld_s34i111 fld_s34i117,var[0]+var[1],kg kg-1,,,CM2,aerosol,
albisccp,yes,fld_s02i331 fld_s02i334,"fix_packing_division(var[0],var[1])",1,,,CM2,aerosol,
cltisccp,yes,fld_s02i334 fld_s02i330,var[0]/var[1],1,,,CM2,aerosol,
pctisccp,yes,fld_s02i333 fld_s02i334,var[0]/var[1],Pa,,,CM2,aerosol,
#clisccp,yes,fld_s02i337 fld_s02i330,"divide_by_mask(var[0](blev:[900.0,740.0,620.0,500.0,375.0,245.0,90.0]),var[1])",1,,,CM2,aerosol,
#
#...atmos...
areacella,yes,fld_s02i204,areacella(144),m2,,,CM2,atmos,
areacella,yes,fld_s02i204,areacella(145),m2,,,ESM,atmos,
ci,yes,fld_s05i269,,1,,,both,atmos,
cl,yes,fld_s02i261,,1,,,both,atmos,
cli,yes,fld_s02i309,,kg kg-1,,,both,atmos,
clivi,yes,fld_s30i406,,kg m-2,,,both,atmos,
clt,yes,fld_s02i204,,1,,,both,atmos,
clw,yes,fld_s02i308,,kg kg-1,,,both,atmos,
co23D,yes,fld_s00i252,,kg kg-1,,,ESM,atmos,
evspsbl,yes,fld_s03i223,,kg m-2 s-1,,,both,atmos,
hfls,yes,fld_s03i234,,W m-2,,,both,atmos,
hfss,yes,fld_s03i217,,W m-2,,,both,atmos,
hur,yes,fld_s30i296,,%,,,CM2,atmos,
hur,yes,fld_s30i206,,%,,,ESM,atmos,
hurs,yes,fld_s03i245,,%,,,both,atmos,
hursmax,yes,fld_s03i245_max,,%,,,both,atmos,
hursmin,yes,fld_s03i245_min,,%,,,both,atmos,
hus,yes,fld_s30i295,,1,,,CM2,atmos,
hus,yes,fld_s30i205,,1,,,ESM,atmos,
hus,yes,fld_s00i010,,1,6hrLev 3hr,,both,atmos,
huss,yes,fld_s03i237,,1,,,both,atmos,
pfull,yes,fld_s00i408,,Pa,,,both,atmos,
phalf,yes,fld_s00i407,,Pa,,,both,aerosol,
pr,yes,fld_s05i216,,kg m-2 s-1,,,both,atmos,
prc,yes,fld_s05i205 fld_s05i206,var[0]+var[1],kg m-2 s-1,,,both,atmos,
prsn,yes,fld_s05i215,,kg m-2 s-1,,,both,atmos,Also in ocean
prw,yes,fld_s30i461,,kg m-2,,,CM2,atmos,
prw,yes,fld_s30i404 fld_s30i403 fld_s30i405 fld_s30i406,var[0]-(var[1]+var[2]+var[3]),kg m-2,,,ESM,atmos,
ps,yes,fld_s00i409,,Pa,,,both,atmos,
psl,yes,fld_s16i222,,Pa,,,both,atmos,
rlds,yes,fld_s02i207,,W m-2,,,both,atmos,
rldscs,yes,fld_s02i208,,W m-2,,,both,atmos,
rlus,yes,fld_s02i207 fld_s02i201 fld_s03i332 fld_s02i205,var[0]-var[1]+var[2]-var[3],W m-2,,up,both,atmos,
rlut,yes,fld_s03i332,,W m-2,,,both,atmos,
rlutcs,yes,fld_s02i206,,W m-2,,,both,atmos,
rsds,yes,fld_s01i235,,W m-2,,,both,atmos,
rsdscs,yes,fld_s01i210,,W m-2,,,both,atmos,
rsdsdiff,yes,fld_s01i216,,W m-2,,down,both,atmos,
rsdt,yes,fld_s01i207,,W m-2,,,both,atmos,
rsus,yes,fld_s01i235 fld_s01i201,var[0]-var[1],W m-2,,up,both,atmos,
rsuscs,yes,fld_s01i211,,W m-2,,,both,atmos,
rsut,yes,fld_s01i208,,W m-2,,,both,atmos,
rsutcs,yes,fld_s01i209,,W m-2,,,both,atmos,
rtmt,yes,fld_s01i207 fld_s01i208 fld_s03i332,var[0]-var[1]-var[2],W m-2,,,both,atmos,
rv850,yes,fld_s30i455,,s-1,,,CM2,atmos,
sci,yes,fld_s05i270,,1,,,both,atmos,
sfcWind,yes,fld_s03i230,,m s-1,,,both,atmos,
sfcWindmax,yes,fld_s03i230_max,,m s-1,,,CM2,atmos,
sfcWindmax,yes,fld_s03i227_max,,m s-1,,,ESM,atmos,
sftlf,yes,fld_s03i395,,1,,,both,atmos,
ta,yes,fld_s30i294,,K,,,CM2,atmos,
ta,yes,fld_s30i204,,K,,,ESM,atmos,
ta,yes,fld_s30i111,,K,6hrLev 3hr,,both,atmos,
tas,yes,fld_s03i236,,K,,,both,atmos,
tasmax,yes,fld_s03i236_max,"monthAve(var[0],times)",K,day2mon,,both,atmos,ta
tasmin,yes,fld_s03i236_min,"monthAve(var[0],times)",K,day2mon,,both,atmos,
tauu,yes,fld_s03i460,,Pa,,down,both,atmos,
tauv,yes,fld_s03i461,,Pa,,down,both,atmos,
ts,yes,fld_s00i024,,K,,,both,atmos,
ua,yes,fld_s30i201,,m s-1,,,both,atmos,
ua,yes,fld_s00i002,,m s-1,6hrLev switchlevs,,both,atmos,
uas,yes,fld_s03i209,,m s-1,,,both,atmos,
va,yes,fld_s30i202,,m s-1,,,both,atmos,
va,yes,fld_s00i003,,m s-1,6hrLev switchlevs,,both,atmos,
vas,yes,fld_s03i210,,m s-1,,,both,atmos,
wap,yes,fld_s30i298,,Pa s-1,,,CM2,atmos,
wap,yes,fld_s30i208,,Pa s-1,,,ESM,atmos,
zfull,yes,fld_s15i101,,m,,,both,atmos,
zg,yes,fld_s30i297,,m,,,CM2,atmos,
zg,yes,fld_s30i207,,m,,,ESM,atmos,
mc,yes,fld_s05i250 fld_s05i251,((var[0]-var[1])/9.80665),kg m-2 s-1,switchlevs,up,both,atmos,
intuaw,yes,fld_s30i428,,kg m-1 s-1,,,both,atmos,
intvaw,yes,fld_s30i429,,kg m-1 s-1,,,both,atmos,
rls,yes,fld_s02i201,,W m-2,,,both,atmos,
rss,yes,fld_s01i201,,W m-2,,,both,atmos,
#
#...atmosChem...
#
#...land...
baresoilFrac,yes,fld_s03i317,"tileFracExtract(var[0],14).filled(0)",1,typebare,,both,land,
c3PftFrac,yes,fld_s03i317,"tileFracExtract(var[0],[1,2,3,4,5,6,8,9,11]).filled(0)",1,typec3pft,,both,land,
c4PftFrac,yes,fld_s03i317,"tileFracExtract(var[0],7).filled(0)",1,typec4pft,,both,land,
cCwd,yes,fld_s03i857 fld_s03i317,"tileAve(var[0],var[1],1)",g m-2,dropLev,,ESM,land,
cLand,yes,fld_s03i851 fld_s03i852 fld_s03i853 fld_s03i854 fld_s03i855 fld_s03i856 fld_s03i857 fld_s03i858 fld_s03i859 fld_s03i860 fld_s03i317,"tileAve(var[0]+var[1]+var[2]+var[3]+var[4]+var[5]+var[6]+var[7]+var[8]+var[9],var[10],1)",g m-2,dropLev,,ESM,land,
cLeaf,yes,fld_s03i852 fld_s03i317,"tileAve(var[0],var[1],1)",g m-2,dropLev,,ESM,land,
cLitter,yes,fld_s03i855 fld_s03i856 fld_s03i317,"tileAve(var[0]+var[1],var[2],1)",g m-2,dropLev,,ESM,land,
cRoot,yes,fld_s03i854 fld_s03i317,"tileAve(var[0],var[1],1)",g m-2,dropLev,,ESM,land,
cropFrac,yes,fld_s03i317,"tileFracExtract(var[0],9).filled(0)",1,typecrop,,both,land,
cropFracC3,yes,fld_s03i317,"tileFracExtract(var[0],9).filled(0)",1,typec3crop,,both,land,
cSoil,yes,fld_s03i858 fld_s03i859 fld_s03i860 fld_s03i317,"tileAve(var[0]+var[1]+var[2],var[3],1)",g m-2,dropLev,,ESM,land,
cSoilFast,yes,fld_s03i858 fld_s03i317,"tileAve(var[0],var[1],1)",g m-2,dropLev,,ESM,land,
cSoilMedium,yes,fld_s03i859 fld_s03i317,"tileAve(var[0],var[1],1)",g m-2,dropLev,,ESM,land,
cSoilSlow,yes,fld_s03i860 fld_s03i317,"tileAve(var[0],var[1],1)",g m-2,dropLev,,ESM,land,
cVeg,yes,fld_s03i852 fld_s03i853 fld_s03i854 fld_s03i317,"tileAve(var[0]+var[1]+var[2],var[3],1)",g m-2,dropLev,,ESM,land,
cWood,yes,fld_s03i853 fld_s03i317,"tileAve(var[0],var[1],1)",g m-2,dropLev,,ESM,land,
evspsblsoi,yes,fld_s03i296 fld_s03i331 fld_s03i317,"var[0]+tileAve(var[1],var[2],0)",kg m-2 s-1,,up,CM2,land,
evspsblsoi,yes,fld_s03i296,,kg m-2 s-1,,up,ESM,land,
#evspsblveg,no,fld_s03i297,,kg m-2 s-1,,up,both,land,
#tran,no,fld_s03i288 fld_s03i296 fld_s03i317,"tileAve(var[0],var[2],0)-var[1]",kg m-2 s-1,dropLev,,both,land,
fNdep,yes,fld_s03i884 fld_s03i317,"tileAve(var[0],var[1],1)",kg m-2 yr-1,dropLev,,ESM,land,
fNleach,yes,fld_s03i918 fld_s03i317,"tileAve(var[0],var[1],1)",kg m-2 yr-1,dropLev,,ESM,land,
fNloss,yes,fld_s03i918 fld_s03i920 fld_s03i317,"tileAve(var[0]+var[1],var[2],1)",kg m-2 yr-1,dropLev,,ESM,land,
fNgas,yes,fld_s03i920 fld_s03i317,"tileAve(var[0],var[1],1)",kg m-2 yr-1,dropLev,,ESM,land,	
fNnetmin,yes,fld_s03i917 fld_s03i317,"tileAve(var[0],var[1],1)",kg m-2 yr-1,dropLev,,ESM,land,
fNup,yes,fld_s03i919 fld_s03i317,"tileAve(var[0],var[1],1)",kg m-2 yr-1,dropLev,,ESM,land,
fracLut,yes,fld_s03i317,"fracLut(var[0],0)".filled(0),1,landUse dropLev,,both,land,
gpp,yes,fld_s03i261,,kg m-2 s-1,,down,ESM,land,
grassFrac,yes,fld_s03i317,"tileFracExtract(var[0],[6,7]).filled(0)",1,typenatgr,,both,land,
grassFracC3,yes,fld_s03i317,"tileFracExtract(var[0],6).filled(0)",1,typec3natg,,both,land,
grassFracC4,yes,fld_s03i317,"tileFracExtract(var[0],7).filled(0)",1,typec4natg,,both,land,
lai,yes,fld_s03i893 fld_s03i317,"tileAve(var[0],var[1],1)",1,dropLev,,ESM,land,
mrfso,yes,fld_s08i223 fld_s08i230,(var[0]*var[1]).sum(1),kg m-2,dropZ,,both,land landIce,
mrlso,yes,fld_s08i223 fld_s08i229,(var[0]*var[1]).sum(1),kg m-2,dropZ,,both,land,
mrro,yes,fld_s08i234 fld_s08i235,var[0]+var[1],kg m-2 s-1,,,both,land,
mrros,yes,fld_s08i234,,kg m-2 s-1,,,both,land,
mrsfl,yes,fld_s08i223 fld_s08i230,var[0]*var[1],kg m-2,,,both,land,
mrsll,yes,fld_s08i223 fld_s08i229,var[0]*var[1],kg m-2,,,both,land,
mrso,yes,fld_s08i223,var[0].sum(1),kg m-2,dropZ,,both,land,
mrsol,yes,fld_s08i223,,kg m-2,,,both,land,
mrsos,yes,fld_s08i223,topsoil(var[0]),kg m-2,topsoil,,both,land,
nbp,yes,fld_s03i262 fld_s03i293 fld_s03i907 fld_s03i908 fld_s03i909,var[0]-var[1]-(tileSum(var[2]+var[3]+var[4])/1000/60/60/24/365.25),kg m-2 s-1,,down,ESM,land,
nep,yes,fld_s03i262 fld_s03i293,var[0]-var[1],kg m-2 s-1,,down,ESM,land,
